id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
10463735,Sobrado aconchegante e espaçoso,53918534,Quiá,Laranjeiras,-22.93555,-43.19107,Entire home/apt,581,1,2,2018-02-14,0.03,6,181,0
53887789,Quadra da praia,333527901,Lucas,Copacabana,-22.97032,-43.18081,Entire home/apt,898,5,0,,,2,365,0
783493769216852616,"Leme, Brasil",491704706,Felipe,Leme,-22.96421,-43.1716,Entire home/apt,720,1,0,,,2,362,0
703973293620197060,Suíte com entrada independente em casarão 1,20362236,Júlio Cesar,Botafogo,-22.95792000774184,-43.18222590793458,Private room,599,4,1,2022-09-06,0.26,4,363,1
782895997622988215,Apartamento próximo ao metrô,302417043,Laís,Laranjeiras,-22.93196,-43.18018,Entire home/apt,240,3,0,,,1,160,0
23768085,Vamos a praia,86611015,Mauro,Barra da Tijuca,-23.01104,-43.32034,Entire home/apt,494,3,92,2022-11-18,1.59,1,228,24
21568335,"Copacabana, perto de tudo",55254246,Ronaldo,Copacabana,-22.96038,-43.17372,Entire home/apt,657,2,2,2022-09-16,0.55,1,241,2
784798816581009420,Leblon Luxo Apartamento Inteiro,491910985,Licia,Leblon,-22.9857184,-43.2339371,Entire home/apt,3509,4,0,,,1,348,0
47943201,"Diversão, turismo e conforto é em Ipanema",386420902,Wagner,Ipanema,-22.98091,-43.19814,Entire home/apt,1300,4,0,,,1,80,0
783267737701368911,apartamento em Lapa!,6355551,Francisco,Centro,-22.91002,-43.18359,Entire home/apt,232,3,0,,,2,263,0
38267361,Não está alugando,280937280,Marisa,Flamengo,-22.93019,-43.17555,Private room,500,1,17,2020-02-25,0.42,1,90,0
753623550024404968,Apartamento pronto para morar,486077889,Marcus,Gávea,-22.977181,-43.232671,Entire home/apt,600,1,0,,,1,171,0
3147066,"IpaView 2BD + View, Ipanema Beach",4399830,Bruno,Ipanema,-22.98113,-43.19848,Entire home/apt,1403,2,307,2022-12-21,2.94,1,334,31
787181553716310468,"Flat frente mar, posto 4 Barra",492309121,Thatiane,Barra da Tijuca,-23.01004,-43.32728,Entire home/apt,1025,1,0,,,1,223,0
53739818,Apt Carnaval Rio de Janeiro com crianças,47732200,Felipe,Jacarepaguá,-22.96574,-43.38343,Entire home/apt,800,1,0,,,1,362,0
678943438064821908,Quarto pequeno e aconchegante em Copacabana,83390985,Kuca,Copacabana,-22.9652514,-43.1783995,Private room,200,7,0,,,2,64,0
687818632905904296,"Recreio Parque Olímpico 
Próx ao Rio Centro Barra",272752257,Felipe,Recreio dos Bandeirantes,-23.01647,-43.48331,Entire home/apt,1293,3,4,2022-11-14,1.03,7,62,4
41229726,"Super flat, mediterrâneo , melhor ponto barra",312526846,Rodrigo,Barra da Tijuca,-23.00577,-43.34078,Entire home/apt,1267,4,1,2022-09-11,0.27,6,357,1
687559765766507167,"Cobertura Barra da Tijuca, próxima ao Rock In Rio.",83544770,Alberto,Jacarepaguá,-22.97299,-43.38182,Entire home/apt,1500,1,1,2022-09-05,0.26,1,358,1
43851003,Ipanema Sunset Apartment,348293564,Juliana,Ipanema,-22.98103,-43.19816,Entire home/apt,782,1,18,2022-11-16,0.7,16,77,6
623182395777522700,Apartamento próximo ao Parque Olímpico (RIR),43133633,Carlos,Jacarepaguá,-22.97117,-43.39006,Entire home/apt,3000,1,2,2022-09-12,0.54,1,363,2
53733044,"todo conforto, quadra da praia Leblon",435193119,Heloisa,Leblon,-22.98485,-43.21661,Entire home/apt,920,3,5,2022-09-14,0.41,1,350,5
13129278,Charming Penthouse,37273242,André,Barra da Tijuca,-23.01887,-43.44984,Entire home/apt,585,25,29,2020-11-03,0.37,2,80,0
791178983396154496,anyLife Smart Centro RJ 1207A,325956962,AnyLife,Centro,-22.910036692672534,-43.17682399311333,Entire home/apt,343,1,0,,,18,361,0
715958130113079469,Maravilhosa Casa na ponta do Joá,149407,Ricardo,Joá,-23.01587,-43.2944063,Entire home/apt,14000,1,0,,,11,365,0
615020619008956311,Encantador Apto frente mar de Copacabana,64294308,Terezinha,Copacabana,-22.981527,-43.189816,Entire home/apt,2607,7,0,,,6,365,0
37018000,Quarto moderno em apt vintage,6668899,Paulo Marcos,Glória,-22.92259,-43.17334,Private room,150,15,7,2022-12-13,0.27,7,316,3
776242383232510490,Super house Copacabana,59985744,Fil,Copacabana,-22.96768,-43.1917,Entire home/apt,1857,3,0,,,1,353,0
38689444,Quarto disponível para o Rock um Rio,120878830,Lara,Jacarepaguá,-22.97171,-43.3938,Private room,380,1,8,2022-09-11,0.2,1,269,3
594759210240916198,Pax 501 - Flat confortavel com estacionamento,203022450,Ronaldo,Ipanema,-22.98202,-43.20475,Entire home/apt,2500,5,0,,,5,56,0
2924321,Rio Room 10min from Downtown,14932011,Newton,Flamengo,-22.93424224853516,-43.17669677734375,Private room,600,2,2,2022-09-04,0.02,3,364,1
37905870,Venit Barra Hotel - Venit Standard Twin,285302898,Venit,Barra da Tijuca,-22.97324,-43.39169,Hotel room,979,1,1,2022-08-07,0.21,3,319,1
51167272,Apartamento pé na areia em condomínio encantador,157749807,Ana,Recreio dos Bandeirantes,-23.03223,-43.48562,Entire home/apt,1103,2,19,2022-11-01,1.1,1,317,8
16997576,"Apartamento Ipanema, vista pra praia e Cristo R",113877545,Luiz,Ipanema,-22.98362,-43.20392,Entire home/apt,1200,31,0,,,1,90,0
659532231331416653,RJ Linda Cobertura duplex na Lagoa,302209040,Vinicius,Lagoa,-22.96043,-43.20172,Entire home/apt,3900,1,0,,,2,365,0
772446518218809739,LuxoBrasil #RJ59 Cobertura Duplex Vista Mar Aluguel Temporada,70646886,LuxoBrasil,Ipanema,-22.98065,-43.20127,Entire home/apt,15000,1,0,,,32,364,0
771803207446768906,Aluguel para o Reveillon,428140227,Christiane,Flamengo,-22.93362,-43.17798,Shared room,304,5,0,,,2,48,0
51613711,Amplo quarto e sala c/belíssima vista no Leblon,2919803,Felipe,Leblon,-22.97854,-43.2234,Entire home/apt,970,5,0,,,35,69,0
775153235140975392,Apartamento em Botafogo,468728146,Beneson,Botafogo,-22.9478706,-43.18296369999999,Entire home/apt,657,3,0,,,1,6,0
47937561,Loft Ipanema - 2 Quartos - Temporada,356952082,Andreza,Ipanema,-22.98406,-43.20392,Entire home/apt,1057,5,8,2022-11-14,0.35,1,242,4
749896121198503817,Lindo 2 quartos no Leblon em frente ao metrô,8303861,Carlos Eduardo,Leblon,-22.9840588,-43.2228149,Entire home/apt,1164,3,3,2022-12-12,1.96,29,301,3
762127964012296079,Apartamento com vista mar !,449260653,Daniel,Recreio dos Bandeirantes,-23.03175,-43.48169,Entire home/apt,538,2,0,,,4,163,0
9332721,condo joaquim 510,4307081,Nereu A,Ipanema,-22.9876,-43.19556,Entire home/apt,1697,1,1,2016-02-13,0.01,54,355,0
761560090639291148,"La Maison Bleue, casarão colonial na Zona Sul",292854242,Louise,Laranjeiras,-22.93422,-43.19347,Entire home/apt,1900,3,0,,,1,354,0
32121989,Suíte Rio Stay Riocentro,222108450,Tatiana,Camorim,-22.97431,-43.41528,Entire home/apt,454,2,54,2022-11-14,1.22,5,97,19
741248934756652056,Confortável Apartamento a 30m da praia do Recreio,475491380,Marcos,Recreio dos Bandeirantes,-23.03174,-43.4813,Entire home/apt,300,2,0,,,1,331,0
