url,news,Type
https://www.larepublica.co/redirect/post/3201905,Durante el foro La banca articulador empresarial para el desarrollo sostenible el director de sostenibilidad y clientes globales de BBVA en Colombia Andrés García aseguró que es importante entender que la sostenibilidad no la podemos asociar a mayores costos. Yo creo que el no tener un concepto de negocio sostenible puede tener un mayor impacto de lo que imaginamos.Para García el reto más importante es no cambiar prioridades ni que compitan entre sí necesariamente. En muchos de los casos se debe tratar de mantener la prioridad en cuanto a la ambición de negocios más sostenibles un reto enorme por la coyuntura. La sostenibilidad nos abre oportunidades a mejores fuentes de financiamiento agregó.El directivo argumentó que lo que se encuentra en juego acá no es un tema de rentabilidad o de negocios en particular es un tema de viabilidad del mundo de los negocios y del mundo físico en general como lo conocemos. Además los riesgos físicos y de transición asociados al cambio climático y a la no inclusión social en el desarrollo son reales y están ahí.Esto ya dejó de ser un aspecto en paralelo de responsabilidad social corporativa ahora tiene que estar en el ADN de las estrategias del mismo negocio. Solo de esa manera se logran impulsar proyectos específicos porque van a están incluidos dentro de las aspiraciones concluyó.,Otra
https://www.larepublica.co/redirect/post/3210288,El regulador de valores de China dijo el domingo que buscará una cooperación más estrecha con su par estadounidense y que apoyará las salidas a bolsa en el extranjero luego de que supervisores estadounidenses endurecieron las exigencias de divulgación de información para las empresas chinas y expresaron preocupación por medidas de Pekín.La Comisión Reguladora de Valores de China CSRC dijo en un comunicado que tomó nota de los nuevos requisitos de la Comisión de Valores de Estados Unidos SEC para las empresas chinas y que ambas partes deberían mantener el espíritu de respeto mutuo y reforzar las comunicaciones sobre la regulación.La CSRC siempre ha estado abierta a que las empresas elijan dónde salir a bolsa y la política nacional básica de China de avanzar en la reforma y la apertura es inquebrantable y la apertura financiera al mundo exterior continuará dijo en su sitio web.La SEC había dicho el viernes que exigirá a las compañías chinas que revelen la incertidumbre sobre futuras acciones del gobierno de China que puedan afectar significativamente a los resultados financieros de la empresa antes de permitirles captar capital en los mercados de valores estadounidenses.Los emisores chinos también deben revelar si se les denegó el permiso de las autoridades chinas para cotizar en las bolsas estadounidenses y los riesgos de que dicha aprobación pueda ser denegada o rescindida añadió la SEC.China ha reforzado su control regulatorio sobre la emisión de acciones en el extranjero después de que lanzó una investigación de ciberseguridad sobre el gigante del transporte Didi Global Inc el mes pasado apenas unos días después de su cotización en Nueva York.El gabinete chino dijo el 6 de julio que reforzaría la supervisión de todas las empresas chinas que cotizan en el extranjero.El regulador del ciberespacio chino dijo que cualquier empresa con datos de más de un millón de usuarios debe someterse a una revisión de ciberseguridad antes de cotizar en el extranjero.El banco central de China también ha dicho que las empresas de pago no bancarias deben informar de sus planes de cotizar en el extranjero.,Regulaciones
https://www.larepublica.co/redirect/post/3240676,En una industria históricamente masculina como lo es la aviación Viva presentó su avión rosado A320NEO que apuesta por la equidad de género la lucha contra el cáncer de mama la inclusión y la diversidad.Desde Francia llegó Go Pink que tuvo un precio promedio de US50 millones convirtiéndose en la aeronave número 20 de las 21 con las que finalizará el año esta aerolínea.En Viva estamos trabajando muy fuerte para que haya más mujeres. Actualmente el grupo ejecutivo está compuesto por 42 mujeres pero la meta es llegar en 2022 con 50 de ellas en nuestro staff señaló Félix Antelo CEO de Viva.Asimismo agregó que están evaluando traer otro avión con esta propuesta para el próximo año así como proyectan un crecimiento de 60 en sillas para el último trimestre de 2021 en comparación con el mismo periodo de 2019.Vamos a estar moviendo más de dos millones de pasajeros para finalizar el año es un número ambicioso pero estamos contentos por la reacción del mercado y porque muchos pasajeros están eligiendo a Viva por la flota nueva la nueva imagen y los precios bajos dijo.Sobre los planes de expansión internacional de la compañía la aerolínea continuará creciendo pues proyectan abrir 15 rutas en tres años.Tenemos una buena apuesta por Florida Nueva York República Dominicana y Buenos Aires probablemente para el próximo año contó Declan Ryan presidente del Grupo Viva.Del mismo modo reveló que se estudia una alianza con Viva Aerobus la aerolínea mexicana que recientemente empezó a operar en Colombia.Viva Aerobus es como un hijo para mí. Juan Carlos el CEO es un gran amigo y seguramente vamos a trabajar con ellos. Es algo que se contempla.Teniendo en cuenta la entrada de más empresas al modelo de low cost muchos cuestionan si la industria va camino a ser solo de este nicho no obstante es algo que no podrán asumir todas las aerolíneas según Ryan.En promedio las personas ahorran US50 al viajar con modelo de bajo costo es decir US14 billones han sido ahorrados por los colombianos. Sin embargo la historia de la aviación nos ha mostrado que cuando las grandes aerolíneas tratan de trabajar bajo el modelo de low cost no les funciona por sus costos.,Alianzas
https://www.larepublica.co/redirect/post/3342889,Con el dato de marzo el IPC interanual encadena su decimoquinta tasa positiva consecutiva. La inflación publicada por el INE se ha mantenido igual respecto al avance del 30 de marzo y se sitúa 22 puntos por encima del dato de febrero que ascendió al 76.De esos 22 puntos de diferencia la mayor parte la colocó el grupo de la vivienda 09 puntos por la subida de la electricidad y el del transporte 07 puntos por el alza de los carburantes. También impulsaron el IPC de marzo el aumento de los precios de la restauración y los servicios de alojamiento y al encarecimiento generalizado de los alimentos especialmente del pescado y el marisco de la carne de las legumbres y hortalizas y de la leche el queso y los huevos.Sin tener en cuenta la rebaja del impuesto especial sobre la electricidad y las variaciones sobre otros impuestos el IPC interanual alcanzó en marzo 107 nueve décimas más que la tasa general del 98. Así lo refleja el IPC a impuestos constantes que el INE también publica en el marco de esta estadística.La inflación subyacente sin alimentos no elaborados ni productos energéticos aumentó en marzo cuatro décimas hasta 34 su valor más alto desde septiembre de 2008. De este modo la subyacente se sitúa más de seis puntos por debajo de la tasa del IPC general.En el último año la calefacción el alumbrado y la distribución de agua se han encarecido 683 los aceites y grasas han elevado sus precios un 321 y el transporte personal es un 193 más caro por el mayor coste de los carburantes. También registran alzas de dos dígitos los huevos y la leche un 11 más caros que hace un año y la carne de ovino y el pescado fresco y congelado con repuntes del 101 en ambos casos.Cómo están los precios por comunidadesCastillaLa Mancha se situó a la cabeza con una tasa de inflación del 117 seguida de Castilla y León 11 Aragón 107 La Rioja 106 Galicia 105 Extremadura 103 Cantabria 102 y Comunidad Valenciana 102.En el otro las comunidades donde se registraron las menores subidas fueron Canarias 84 Madrid 9 Baleares 94 Asturias 95 País Vasco 95 y Cataluña 95.El IPC dispara su tasa mensual al 3En tasa mensual el IPC registró en marzo un incremento del 3 respecto a febrero su mayor alza mensual en cualquier mes desde 2002 cuando se cambió la metodología de esta estadística para recoger mejor la evolución del mercado. Echando la vista más atrás tomando series anteriores el repunte mensual de marzo es el más elevado desde agosto de 1977.En el tercer mes de 2022 el Índice de Precios de Consumo Armonizado IPCA situó su tasa interanual en 98 más de dos puntos por encima de la de febrero. Por su parte el indicador adelantado del IPCA avanzó un 39 en tasa mensual.,Macroeconomia
https://www.larepublica.co/redirect/post/3427208,Ayer en Cartagena se dio inicio a la versión número 56 de la Convención Bancaria. Este será el primer encuentro de los banqueros del país con el presidente Gustavo Petro quien estará en la sesión de clausura el próximo viernes.Mario Pardo Bayona el presidente de la Junta Directiva de Asobancaria y presidente de Bbva Colombia dio inicio a la sesión de apertura destacando que a pesar de los avances económicos y financieros del país aún existe un reto clave reducir las inequidades.En ese sentido el directivo propuso cinco objetivos desde la banca. Como primer punto resaltó la importancia de seguir financiando infraestructura de telecomunicaciones energía agua y alcantarillado que faciliten la vida y la provisión de servicios en la ruralidad.Como segundo y tercer punto sería clave seguir comprometidos con la bancarización y aumentar el acceso al crédito pues solo 34 de los adultos y 31 de las Pyme en Colombia acceden al crédito formal. Sustituir el gota a gota por el crédito formal es el mejor instrumento para que los colombianos puedan materializar sus sueños y para reducir la pobreza de los microempresarios dijo el directivo.Otro objetivo es trabajar para que los productos financieros cada vez sean más económicos aprovechando la digitalización. Como último punto se debe garantizar que los avances lleguen a todos. A las poblaciones negras raizales palenqueras indígenas mujeres cabeza de familia campesinos jóvenes discapacitados migrantes etc. Para ello debemos trabajar con el Estado en identificar y derribar las barreras que existan y desde el sector debemos medir publicar y comprometer cifras con los avances en los servicios a estos segmentos poblacionales señaló Pardo.A su turno el gerente general del Banco de la República Leonardo Villar resaltó el papel de la banca durante la pandemia. Las cifras a julio excluyendo la cartera de moneda extranjera muestran tasas de crecimiento de 17 en el crédito agregado y cercanas a 23 en la cartera para los consumidores. Sin embargo aseguró que dicho crecimiento tiene su contrapartida en el mayor endeudamiento de los consumidores y las empresas por lo que el aumento de las tasas se reflejaría en un incremento de la carga financiera.De hecho el superintendente financiero Jorge Castaño advirtió un aumento de los cupos de las tarjetas de crédito y el deterioro de las originaciones nuevas. El problema es el sobreendeudamiento que las familias puedan tener al acceder a esos cupos altos de tarjetas de créditos. La Superintendencia Financiera está viendo que la carga financiera de los hogares ha empezado a aumentar. La porción de dinero que las familias utilizan para pagar sus deudas está empezando a crecer. Si a esto le agregamos el efecto de la inflación va a haber una mayor presión en la capacidad de pago. Nuestro mensaje es que sigamos siendo muy responsables en el uso de los créditos aseguró Castaño.Durante la apertura del evento el gerente del Emisor también se refirió al avance de los pagos digitales y aseguró que tomamos la decisión de avanzar hacia un sistema de transferencias digitales inmediatas seguras y eficientes que sea totalmente interoperable y que contribuya a la competitividad de los mercados y el desarrollo del país.Frente al anuncio que hizo el director de la Dian Luis Carlos Reyes sobre avanzar en la emisión de una moneda digital Villar aseguró que a inicios de agosto se instaló un foro para avanzar en las decisiones urgentes relacionadas con los pagos inmediatos y que dicho foro servirá como insumo para en un futuro tomar la decisión sobre emitir o no una moneda digital.Un reto del Estado es seguir ofreciendo garantías para facilitar el acceso al crédito de las mujeres esquema donde todavía hay brechas a favor de los hombres.Confiamos en que el foro se convierta en una herramienta para avanzar en las decisiones que tenemos en los pagos inmediatos. Nuestro referente más cercano es el sistema Pix que se ha desarrollado en Brasil donde tras solo dos años de operación más de 70 de los adultos utiliza el sistema para sus pagos . Este mismo foro podrá servirnos para avanzar en el diseños de esquemas que amplíen la oferta de pagos transfronterizos y así evaluar la conveniencia de emitir una moneda digital del Banco Central dijo Villar.Asobancaria cambió su marca y eslogan después de más de 50 añosEn el inicio de la Convención Bancaria en Cartagena Asobancaria anunció la renovación de su logo por primera vez en 50 años y su slogan que ahora se refiere a acercar la banca a los colombianos.Lo anterior indicó su presidente Hernando José Gómez como reflejo de la transformación que ha experimentado el sector financiero y de su compromiso con el país. Según el dirigente gremial la marca busca reflejar el apoyo al desarrollo sostenible del país y la construcción de caminos hacia un futuro compartido.,Otra
https://www.larepublica.co/redirect/post/3225281,El emprendimiento del sector inmobiliario Rentatop cerró una ronda de financiación por US1 millón con la inmobiliaria Century 21 con la que planea acelerar su crecimiento y fortalecer su operación.La startup desarrolló una plataforma que utiliza Big Data e Inteligencia Artificial para realizar en línea todos los procesos presentes en un arriendo residencial oferta y demanda de inmuebles residenciales calificaciones crediticias búsquedas de garantías y firmas de contratos.Adicionalmente un acuerdo comercial entre las compañías significará que la plataforma será la encargada de manejar los arriendos de inmuebles que tiene en su portafolio la inmobiliaria en Colombia.A partir de la alianza la plataforma logra tener desde el inicio un alcance nacional gracias a la presencia de nuestras más de 40 oficinas y nuestra fuerza comercial de más de 500 agentes en diferentes ciudades del país afirmó Alberto Rodríguez presidente y CEO de Century 21.Con esto la plataforma suma en total un portafolio de más de 1.000 propiedades y un valor de mercado superior a los US100 millones según la misma compañía,Alianzas
https://www.bbva.com/es/mx/mexico-y-el-desafio-de-disminuir-la-pobreza-laboral/,El país tiene pendiente generar más y mejores acciones para contrarrestar la pobreza laboral y sus causas que de acuerdo con el último reporte del Consejo Nacional de Evaluación de la Política de Desarrollo Social Coneval a nivel nacional y al segundo trimestre de 2022 este indicador medido como el porcentaje de la población sin capacidad de adquirir una canasta básica alimentaria con su ingreso laboral se ubicó en 38.3 que significa una disminución anual de 1.6 puntos porcentuales.Luis Antonio Espinosa Carrasco economista senior de BBVA México señala en la columna Inflación e informalidad retos de la pobreza laboral publicada en el periódico El Economista que los datos del Coneval revelan que un tercio de la población no tiene la posibilidad de costear una canasta básica lo que resulta preocupante y sin duda deja ver que lograr una reducción en los niveles de pobreza en el país se ve aún lejana.Espinosa destaca que dos factores en el corto plazo se plantean como los principales retos para seguir en la senda de reducción de los niveles de pobreza la inflación y el empleo informal. En el caso de la inflación se encuentra en un escenario preocupante con un nivel promedio anual de 7.8 al segundo trimestre de 2022 aumento que está golpeando a las familias de menores recursos ya que un incremento de precios podría significar pasar de una situación de vulnerabilidad a una de carencia.Dos factores en el corto plazo se plantean como los principales retos para seguir en la senda de reducción de los niveles de pobreza la inflación y el empleo informalDe acuerdo con el economista especialista en temas de desarrollo y políticas públicas el daño se hace evidente cuando se observa que los valores monetarios de las canastas de consumo que determinan la Línea de Pobreza Extrema por Ingresos tuvieron un incremento anual promedio en este segundo trimestre de 12.6 y 12.0 para el ámbito rural y urbano respectivamente.En lo que se refiere a la informalidad Espinosa explica que la mitad de la población ocupada es decir el 55.7 labora en la informalidad condición que desencadena menores ingresos salariales y falta de acceso a la seguridad social que a su vez generan condiciones de precariedad que posicionan a sus trabajadores en una situación de vulnerabilidad lo que se hace evidente en el último trimestre al observar la brecha entre los salarios formales promedio de 9312 pesos y los informales de 4524 pesos siendo estos últimos más propensos a un mayor peligro de estar y caer en niveles de pobreza laboral.Inclusión financieraLa disminución del efectivo se ha convertido en uno de los retos financieros más importantes en México. Alfonso Gurza González economista principal de BBVA México destaca en el artículo Inclusión financiera y combate al efectivo publicado en el periódico El Economista la correlación que existe en el uso de dinero físico la inclusión financiera y el alto grado de informalidad en el país.El economista de BBVA Research México puntualiza que desafortunadamente el panorama para ambos indicadores durante los siguientes trimestres muestra poca recuperación en el caso de la inflación aún será elevada en lo que resta del año y se prevé que baje hasta el 2023. Detalla que con cifras de Coneval los ingresos de la población formal ocupada han tenido una mejor recuperación desde los niveles pre pandemia que los informales.Es así como Espinosa advierte que ante el contexto adverso la política económica y social tendrá un papel central en los próximos trimestres para poder contrarrestar los efectos negativos de estos factores sobre el nivel de pobreza en México por lo que sugiere que en la actual revisión al Presupuesto de Egresos de la Federación 2023 se deben destinar más recursos a los programas sociales con mayor evidencia de contribuir a la reducción de la pobreza y por ende a mejorar las condiciones de vida de los mexicanos entre otras acciones de política económica y fiscal para proteger a la población más vulnerable.El artículo se publicó en El Economista el 25 de agosto de 2022 y puede consultarse en este link.,Macroeconomia
https://www.bbva.com/es/podcast-agile-en-la-universidad-entrevista-a-nacho-escobar/,"En el 'podcast' tenemos el placer de entrevistar a Nacho Escobar, profesor en varias Universidades donde introduce Agile entre sus alumnos para prepararles ante la nueva realidad empresarial.
Nacho nos comparte en este 'podcast' de 'Píldoras Agile' su visión de por qué es importante introducir Agile en la formación actual y qué ventaja competitiva supone incorporar estos conceptos para sus alumnos.
Nacho además es Fundador del podcast TalentBoost, dedicado a hablar de tendencias en el mundo del trabajo y las organizaciones y de el Thinktank de RRHH del sector legal ElObservatorio.
Cuenta a su vez con varias publicaciones donde nos comparte las bondades de Agile en el sector Legal. ",Innovacion
https://www.bbva.com/es/la-ingenieria-social-es-mas-vieja-que-la-ciberseguridad-y-winston-churchill-lo-sabia/,"El factor humano, normalmente identificado como el factor más débil, ha estado influyendo y modelando la realidad digital y computacional desde sus comienzos, jugando un papel muy relevante en momentos clave de la historia. Uno de estos momentos, probablemente el más significativo, fue el descifrado de Enigma, el código secreto utilizado por el ejército alemán, durante la Segunda Guerra Mundial.
El cine nos acercó este momento histórico, pero no ahondó en cómo los matemáticos que lo descifraron se dedicaron también a aplicar teoría del comportamiento.
El diseño de Enigma era complejo y excepcional: máquinas portátiles, que recuerdan una máquina de escribir, cuyo elemento fundamental es su sistema de rotores, un panel de clavijas y el circuito eléctrico que los conecta. Como si de las reglas de un juego se tratara, tenía dos características particulares en su diseño:
Las posibilidades de romper Enigma a base de fuerza bruta era 1 entre 158 billones. El  mismo Winston Churchill (¿primer 'behavioral scientist'?) escribió que sobre el éxito del criptoanálisis de enigma:
“Depende para su éxito más de un estudio de la psicología de las personas que envían los mensajes […] que de un estudio y análisis cuidadoso para el que no hay tiempo”
El factor humano conduce a la brecha de información: el primer caso de ingeniería social
Desde el punto de vista psicológico (sesgos, normas sociales, atención y fatiga…) se dieron una serie de elementos que facilitaron enormemente la labor de las fuerzas aliadas para descifrar Enigma:
Como resultado de todo lo anterior, la compleja seguridad de Enigma fue seriamente comprometida, lo que permitió a los aliados romper el código. La estimación dice que se acortó la guerra tres años, salvando un número ingente de vidas. El diseño era perfecto en el papel pero se pasaron por alto (ahora tenemos más información) sobre cómo sería la interacción máquina-humano u otros elementos del 'management'. Precisamente, esa complejidad de diseño y sofisticación, hicieron que las vulnerabilidades del factor humano se manifestaran aún más.
El conocimiento de estas máquinas ha servido para el posterior desarrollo de la computación, la criptografía, las comunicaciones... y, en definitiva, el mundo tal y como lo conocemos hoy. A algunas personas este artículo les puede resultar alejado de la banca, pero merece la pena mencionar que Arthur Scherbius, ingeniero e inventor alemán, construyó Enigma en 1920 con la idea de que sería utilizado por bancos y empresas comerciales para mantener sus comunicaciones en secreto.
Cuando nos preguntamos por qué la gente sigue usando contraseñas poco seguras, debemos también preguntarnos si los sistemas para creación de contraseñas pueden estar influyendo en estos errores. Las personas cometemos errores diariamente, aunque en la gran mayoría de los casos no los hacemos de forma deliberada. Hay 'multitasking', presión, sobrecarga de información… Lamentablemente los errores son explotados y a veces hasta inducidos de forma deliberada por los cibercriminales (con tanta eficacia como los magos del escenario nos desvían para que veamos lo imposible), por lo que comprender los factores humanos es crucial. E implementar medidas en consecuencia.
La capacitación y la información ayudan a que las personas eviten y/o corrijan sus errores cuando ocurren. La desconstrucción de los factores humanos, como se ilustra aquí, significa reconocer, también, que las personas cometen errores y diseñar posteriormente para anticiparnos y prevenirlos.",Innovacion
https://www.bbva.com/es/que-hace-un-developer-como-tu-en-un-banco-como-bbva/,"Los perfiles que se demandan en un banco han evolucionado, al igual que lo ha hecho la gestión del talento. Los bancarios y bancarias ya no llevan traje y visten ‘casual’, pueden teletrabajar desde casa y la sostenibilidad es un ‘must’ para ellos. Es decir, las normas son distintas y el talento que se demanda en las entidades financieras es muy diverso. Buena muestra de ello son las 2. 000 incorporaciones de desarrolladores que se van a llevar a cabo en BBVA en 2022 para el área de Ingeniería. Uno de esos perfiles técnicos que trabaja en BBVA es Rosalía Salas: estudió Matemáticas y en la actualidad es científica de datos en la unidad de Ingeniería del banco. “Nunca pensé que pudiera trabajar en un banco. Pero, por ejemplo, detrás de cosas tan cotidianas como sacar dinero de un cajero hay un conjunto de modelos predictivos y de optimización de rutas para planificar el dinero exacto que se tiene que disponibilizar. Esos son los modelos que los data scientist realizamos”, afirma.",Innovacion
